IndiceIPC;Tasa desempleo std;TPM std;Tipo de Cambio std
108.5;1.673567939;-1.094362828;-0.081359028
108.79;1.539503751;-1.094362828;-0.036729676
108.88;1.204343283;-1.094362828;0.107695438
109.76;0.802150721;-1.052630013;0.349290055
110.15;0.534022346;-1.014107414;0.646407503
111.45;0.466990253;-0.773341171;0.684806371
112.94;0.265893972;-0.532574929;0.991393132
113.51;-0.13629859;-0.3720641;0.977989571
114.39;-0.337394871;-0.144138724;1.346985303
115.77;-0.270362778;0.096627519;1.073281211
116.1;-0.13629859;0.510745456;0.921809243
118.26;0.064797691;0.552478271;0.842134213
119.91;-0.002234403;0.992277941;1.003247416
121.35;0.064797691;1.319720031;1.349695816
122.48;0.064797691;1.57332714;1.43441477
124.16;0.131829784;1.772360567;2.404359992
125.67;0.131829784;1.875087498;1.905378878
126.75;0.198861878;2.131904823;2.073767615
127.41;0.198861878;2.298836085;2.426486773
128.65;0.131829784;2.356619983;2.033785133
129.02;0.131829784;2.356619983;1.615306883
130.05;0.198861878;2.356619983;1.116610912
129.97;0.466990253;2.356619983;0.832732766
131.38;0.735118627;2.356619983;0.946436966
131.79;0.668086534;2.356619983;0.889141385
131.94;0.534022346;2.356619983;0.836553987
131.74;0.534022346;2.356619983;0.849060842
132.2;0.735118627;2.3405689;0.985798546
132.35;0.869182815;2.035598326;1.413082573
133.24;0.802150721;1.833354682;1.703693391
133.82;0.802150721;1.778781;2.127751367
134.82;0.668086534;1.634321255;1.726043155
134.1;0.534022346;1.544435191;1.605240709
